du_an,price_VND,status,area,price_m2,toilet,room,doc,type,Số tầng,furnishing,category,Đường,Phường,Quận
,4.39,,19.0,231.05,3.0,3.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Hoàn thiện cơ bản,NhaDat,Đường Thái Hà,Phường Trung Liệt,Quận Đống Đa
,5.8,,30.0,193.33,4.0,3.0,Đã có sổ,"nhà ngõ, hẻm",0,Không rõ,NhaDat,,Phường Khương Trung,Quận Thanh Xuân
,6.9,,40.0,172.5,4.0,4.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất đầy đủ,NhaDat,,Phường Phú La,Quận Hà Đông
,5.9,,38.0,155.26,0,4.0,Đã có sổ,"nhà ngõ, hẻm",0,Không rõ,NhaDat,Đường Lĩnh Nam,Phường Lĩnh Nam,Quận Hoàng Mai
,7.28,,35.0,208.0,4.0,3.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Không rõ,NhaDat,,Phường Hoàng Văn Thụ,Quận Hoàng Mai
,8.8,,40.0,220.0,4.0,4.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất đầy đủ,NhaDat,,Phường Nguyễn Trãi,Quận Hà Đông
,6.8,,45.0,151.11,4.0,3.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Không rõ,NhaDat,Đường Ngọc Thụy,Phường Ngọc Thụy,Quận Long Biên
,10.5,,50.0,210.0,0,4.0,Đã có sổ,"nhà mặt phố, mặt tiền",4.0,Không rõ,NhaDat,Đường Đông Ngạc,Phường Đông Ngạc,Quận Bắc Từ Liêm
,2.4,,40.0,60.0,3.0,3.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Nội thất đầy đủ,NhaDat,,,
,2.5,,50.0,50.0,3.0,3.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất đầy đủ,NhaDat,,,
,3.0,,30.1,99.67,4.0,3.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Hoàn thiện cơ bản,NhaDat,,Phường Biên Giang,Quận Hà Đông
,2.9,,15.0,193.33,2.0,2.0,Đã có sổ,"nhà ngõ, hẻm",3.0,Nội thất đầy đủ,NhaDat,,Phường Bưởi,Quận Tây Hồ
,7.0,,38.0,184.21,4.0,4.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Không rõ,NhaDat,,Phường Khương Trung,Quận Thanh Xuân
,6.8,,33.0,206.06,4.0,3.0,Đã có sổ,"nhà ngõ, hẻm",6.0,Nội thất đầy đủ,NhaDat,Đường Lĩnh Nam,Phường Lĩnh Nam,Quận Hoàng Mai
,4.2,,42.0,100.0,5.0,6.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất đầy đủ,NhaDat,,,
,6.1,,40.0,152.5,0,3.0,Đã có sổ,"nhà ngõ, hẻm",0,Không rõ,NhaDat,,Phường Bạch Mai,Quận Hai Bà Trưng
,3.4,,33.0,103.03,4.0,3.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất cao cấp,NhaDat,Đường Yên Nghĩa,Phường Yên Nghĩa,Quận Hà Đông
,9.6,,45.0,213.33,4.0,6.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất cao cấp,NhaDat,,Phường Khương Đình,Quận Thanh Xuân
,5.2,,26.5,196.23,3.0,3.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Nội thất đầy đủ,NhaDat,,Phường Giảng Võ,Quận Ba Đình
,5.7,,51.0,111.76,0,4.0,Đã có sổ,nhà phố liền kề,0,Không rõ,NhaDat,,Phường Vĩnh Hưng,Quận Hoàng Mai
,3.36,,46.0,73.04,0,3.0,Đã có sổ,"nhà mặt phố, mặt tiền",4.0,Không rõ,NhaDat,,Phường Biên Giang,Quận Hà Đông
,3.38,,35.0,96.57,4.0,3.0,Đã có sổ,"nhà mặt phố, mặt tiền",5.0,Không rõ,NhaDat,,Phường Biên Giang,Quận Hà Đông
,9.2,,45.0,204.44,4.0,4.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất đầy đủ,NhaDat,,Phường Tân Mai,Quận Hoàng Mai
,10.0,,39.0,256.41,5.0,6.0,Đã có sổ,"nhà ngõ, hẻm",0,Nội thất đầy đủ,NhaDat,Đường Thái Hà,Phường Trung Liệt,Quận Đống Đa
,11.5,,65.0,176.92,6.0,6.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất cao cấp,NhaDat,,Phường Trần Phú,Quận Hoàng Mai
,7.9,,45.0,175.56,5.0,4.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Không rõ,NhaDat,Đường Ngô Quyền,Phường La Khê,Quận Hà Đông
,13.5,,47.0,287.23,0,5.0,Đã có sổ,"nhà mặt phố, mặt tiền",5.0,Không rõ,NhaDat,Đường Trần Cung,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm
,7.8,,40.0,195.0,5.0,4.0,Đã có sổ,"nhà ngõ, hẻm",7.0,Hoàn thiện cơ bản,NhaDat,Đường Xuân Đỉnh,Phường Xuân Đỉnh,Quận Bắc Từ Liêm
,13.0,,65.0,200.0,3.0,4.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Hoàn thiện cơ bản,NhaDat,Đường Lạc Long Quân,Phường Nghĩa Đô,Quận Cầu Giấy
,5.2,,48.0,108.33,2.0,2.0,Đã có sổ,"nhà mặt phố, mặt tiền",2.0,Nội thất đầy đủ,NhaDat,,Phường Trần Phú,Quận Hoàng Mai
,5.4,,60.0,90.0,3.0,3.0,Đã có sổ,"nhà ngõ, hẻm",3.0,Nội thất đầy đủ,NhaDat,Đường Láng,Phường Ngã Tư Sở,Quận Đống Đa
,3.8,,20.0,190.0,4.0,2.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Nội thất đầy đủ,NhaDat,,Phường Mai Động,Quận Hoàng Mai
,4.69,,32.0,146.56,4.0,3.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất đầy đủ,NhaDat,Đường Tam Trinh,Phường Yên Sở,Quận Hoàng Mai
,4.65,,31.0,150.0,4.0,3.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Nội thất đầy đủ,NhaDat,,Phường Thanh Trì,Quận Hoàng Mai
,6.25,,33.0,189.39,4.0,3.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất cao cấp,NhaDat,Đường Hoàng Mai,Phường Hoàng Văn Thụ,Quận Hoàng Mai
