du_an,price_VND,location,status,area,price_m2,toilet,room,doc,type,Số tầng,furnishing
Bình Vượng Tower,4.09,"200, Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội",Chưa bàn giao,92.0,44.46,2.0,2,Sổ hồng riêng,Chung cư,,Nội thất cao cấp
,1.02,"Vĩ Thi Sáu, Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội",Chưa bàn giao,28.0,36.43,1.0,1,Đang chờ sổ,Chung cư,,
Hồ Gươm Plaza,4.35,"Số 102-104, Trần Phú, Phường Mộ Lao, Quận Hà Đông, Hà Nội",Đã bàn giao,76.0,57.24,2.0,2,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,6.9,"Phố Tố Hữu, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,110.0,62.73,,3,Sổ hồng riêng,Chung cư,,
Hateco Hoàng Mai,4.3,"Ngã 3 Tam Trinh, Phường Yên Sở, Quận Hoàng Mai, Hà Nội, Phường Yên Sở, Quận Hoàng Mai, Hà Nội",Chưa bàn giao,90.0,47.78,2.0,3,Sổ hồng riêng,Chung cư,,Nội thất cao cấp
,2.9,"Đường Trương Định, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",Chưa bàn giao,50.0,58.0,,2,Sổ hồng riêng,"Tập thể, cư xá",,Nội thất cao cấp
,3.25,"Đường Đại lộ Thăng Long, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,43.0,75.58,1.0,1,Sổ hồng riêng,Chung cư,,Nội thất cao cấp
Vinhomes Smart City,3.05,"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,43.0,70.93,1.0,1,Sổ hồng riêng,Chung cư,,Nội thất cao cấp
,3.4,"Đường Hồ Tùng Mậu, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,80.0,42.5,1.0,2,Sổ hồng riêng,"Tập thể, cư xá",,
IA20 Ciputra,0.0489,"ia20, Đông Ngạc, Phường Đông Ngạc, Quận Bắc Từ Liêm, Hà Nội",Đã bàn giao,92.0,0.5315209999999999,2.0,3,Sổ hồng riêng,Chung cư,,Nội thất cao cấp
,5.9,"NGUYỄN XIỂN, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",Đã bàn giao,97.0,60.82,2.0,3,Hợp đồng mua bán,Chung cư,,
HPC Landmark 105,6.7,"Tố Hữu, Phường La Khê, Quận Hà Đông, Hà Nội",Đã bàn giao,128.0,52.34,2.0,3,Sổ hồng riêng,Chung cư,,Nội thất cao cấp
Vinhomes Smart City,4.2,"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,64.0,65.62,2.0,2,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,5.45,"Đường Phạm Văn Đồng, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",Đã bàn giao,100.0,54.5,2.0,4,Sổ hồng riêng,Chung cư,,
