du_an,price_VND,location,status,area,price_m2,toilet,room,doc,type,Số tầng,furnishing
,7.3,"18 ngõ 81/14, Phố Trạm, Phường Long Biên, Quận Long Biên, Hà Nội",Chưa bàn giao,41.1,177.62,3.0,5,Sổ hồng riêng,"Căn hộ dịch vụ, mini",,Nội thất đầy đủ
,2.38,"Phố Lò Đúc, Phường Đống Mác, Quận Hai Bà Trưng, Hà Nội",Đã bàn giao,50.0,47.6,,2,Sổ hồng riêng,"Tập thể, cư xá",,Nội thất cao cấp
,3.379,"802, Phố Nguyễn Cảnh Dị, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Chưa bàn giao,63.0,53.63,2.0,4,Sổ hồng riêng,Chung cư,,
Vinhomes Smart City,3.648,"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,55.0,66.33,1.0,2,Sổ hồng riêng,Chung cư,,Nội thất cao cấp
,1.88,"Đường Nguyễn Trãi, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Đã bàn giao,52.0,36.15,,2,Sổ hồng riêng,"Căn hộ dịch vụ, mini",,Nội thất đầy đủ
Vinhomes Ocean Park Gia Lâm,2.33,"Đại Dương, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Chưa bàn giao,46.0,50.65,1.0,1,Sổ hồng riêng,Chung cư,,
,2.33,"Đường Thụy Khuê, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",Đã bàn giao,60.0,38.83,1.0,2,Sổ hồng riêng,"Căn hộ dịch vụ, mini",,Hoàn thiện cơ bản
Chung cư Đại Thanh,2.52,"Phan Trọng Tuệ, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội",Đã bàn giao,56.0,45.0,2.0,2,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
Chung cư Đại Thanh,1.88,"Phan Trọng Tuệ, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội",Đã bàn giao,55.0,34.18,1.0,2,Hợp đồng mua bán,Chung cư,,Nội thất đầy đủ
Chung cư Đại Thanh,2.05,"Phan Trọng Tuệ, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội",Đã bàn giao,45.0,45.56,1.0,1,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,6.51,"Đường Nguyễn Gia Bồng, Phường Thượng Thanh, Quận Long Biên, Hà Nội",Đã bàn giao,101.57,64.1,2.0,3,Hợp đồng mua bán,Chung cư,,
