du_an,price_VND,location,status,area,price_m2,toilet,room,doc,type,Số tầng,furnishing
,1.05,"Tân Hội, Xã Tân Tiến, Huyện Chương Mỹ, Hà Nội",,82.8,12.68,,,Đã có sổ,Đất thổ cư,,
,4.5,"QL21, Xã Phú Cát, Huyện Quốc Oai, Hà Nội",,87.0,51.72,,,Đã có sổ,Đất thổ cư,,
,6.0,"Phố Nguyễn An Ninh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",,59.0,101.69,,,Đã có sổ,Đất thổ cư,,
,21.0,"nam an khánh, Xã An Khánh, Huyện Hoài Đức, Hà Nội",,90.0,233.33,,,Đã có sổ,Đất thổ cư,,
,6.4,"Phố Thượng Thanh, Phường Thượng Thanh, Quận Long Biên, Hà Nội",,50.0,128.0,,,Đã có sổ,Đất thổ cư,,
,4.5,"Thanh am, Phường Thượng Thanh, Quận Long Biên, Hà Nội",,52.0,86.54,,,Đã có sổ,Đất thổ cư,,
,12.0,"Đường 21b, Xã Bích Hòa, Huyện Thanh Oai, Hà Nội",,98.0,122.45,,,Đã có sổ,Đất thổ cư,,
,2.55,"Hòa Sơn, Thị trấn Chúc Sơn, Huyện Chương Mỹ, Hà Nội",,35.9,71.03,,,Đã có sổ,Đất thổ cư,,
,16.38,"Phố Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",,90.0,182.0,,,Đã có sổ,Đất thổ cư,,
,4.08,"Thôn Yên Thái, Xã Đông Yên, Huyện Quốc Oai, Hà Nội",,204.1,19.99,,,Đã có sổ,Đất thổ cư,,
,3.0,"Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",,46.0,65.22,,,Đã có sổ,Đất thổ cư,,
,10.0,"92A, Đồng Đảng, Xã Hiền Ninh, Huyện Sóc Sơn, Hà Nội",,1900.0,5.26,,,Đang chờ sổ,Đất thổ cư,,
,17.53,"Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",,82.0,213.78,,,Đã có sổ,Đất thổ cư,,
,14.2,"Mai Hiên, Xã Mai Lâm, Huyện Đông Anh, Hà Nội",,188.0,75.53,,,Đã có sổ,Đất thổ cư,,
,2.58,"Phúc Thọ, Xã Mai Lâm, Huyện Đông Anh, Hà Nội",,44.0,58.64,,,Đã có sổ,Đất thổ cư,,
,85.0,"Phố Nguyễn Hữu Thọ, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",,232.0,366.38,,,Đã có sổ,Đất thổ cư,,
,0.82,"Thôn Ngọ, Xã Chuyên Mỹ, Huyện Phú Xuyên, Hà Nội",,44.0,18.64,,,Đã có sổ,Đất thổ cư,,
,0.85,"Trạch Mỹ Lộc, Xã Trạch Mỹ Lộc, Huyện Phúc Thọ, Hà Nội",,46.6,18.24,,,Đã có sổ,Đất thổ cư,,
,0.45,"Chưa có, Phú Hiền, Xã Hợp Thanh, Huyện Mỹ Đức, Hà Nội",,50.2,8.96,,,Đã có sổ,Đất thổ cư,,
,15.0,"28, Ngõ 21 Nguyễn Ngọc Nại, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",,72.0,208.33,,,Đã có sổ,Đất thổ cư,,
