du_an,price_VND,location,status,area,price_m2,toilet,room,doc,type,Số tầng,furnishing
,4.85,"Trần khát Trân, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội",,31.0,156.45,4.0,5.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Hoàn thiện cơ bản
,16.6,"Đền lừ, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",,52.0,319.23,4.0,4.0,Đã có sổ,"Nhà mặt phố, mặt tiền",6.0,Nội thất đầy đủ
,4.1,"Đường Thụy Phương, Phường Thụy Phương, Quận Bắc Từ Liêm, Hà Nội",,32.0,128.12,1.0,1.0,Đã có sổ,"Nhà ngõ, hẻm",2.0,Nội thất đầy đủ
,7.4,"Đường Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",,38.0,194.74,,4.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,
,6.5,"Đường Âu Cơ, Phường Tứ Liên, Quận Tây Hồ, Hà Nội",,45.0,144.44,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",,
,11.0,"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",,40.0,275.0,5.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất cao cấp
,30.0,"Đường Thụy Khuê, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",,50.0,600.0,,6.0,Đã có sổ,"Nhà mặt phố, mặt tiền",7.0,
,8.5,"Phố Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",,55.0,154.55,4.0,7.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất cao cấp
,7.2,"Đường Xuân La, Phường Xuân La, Quận Tây Hồ, Hà Nội",,39.8,180.9,5.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",6.0,Hoàn thiện cơ bản
,3.1,"Phố Giang Lẻ, Phường Biên Giang, Quận Hà Đông, Hà Nội",,31.0,100.0,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ
,9.2,"Phố Thạch Cầu, Phường Long Biên, Quận Long Biên, Hà Nội",,180.0,51.11,5.0,6.0,Đã có sổ,"Nhà ngõ, hẻm",1.0,
,9.45,"Đường Quốc lộ 3, Thị trấn Đông Anh, Huyện Đông Anh, Hà Nội",,70.0,135.0,4.0,4.0,Đã có sổ,Nhà biệt thự,5.0,Bàn giao thô
,10.0,"Đường Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",,50.0,200.0,,10.0,Đã có sổ,"Nhà ngõ, hẻm",6.0,Nội thất đầy đủ
